时间,,No,1T,1RH,2T,2RH,3T,3RH,4T,4RH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:01:55,,1,30.3,61.9,32.8,62.1,32,57.5,32.1,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:03:55,,2,30.4,61.4,32.6,64.1,32,57.5,32.1,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:05:55,,3,30.3,60.3,32.3,57,32,57.4,32,58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:07:55,,4,31,58.1,32.2,54.4,32,57.3,32,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:09:55,,5,31.2,62.3,32.1,54.6,31.9,56.6,31.8,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:11:55,,6,31.1,56.6,32,54.3,31.7,55.6,31.8,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:13:55,,7,30.9,56.3,31.9,53.9,31.7,55.9,31.9,55.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:15:55,,8,30.7,56.4,31.8,54.6,31.8,55.7,31.9,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:17:55,,9,30.6,56.4,31.9,54.6,31.8,55.7,31.9,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:19:55,,10,30.6,56.6,32,55.8,31.9,55.6,31.9,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:21:55,,11,30.7,56.4,32,54.7,31.9,55.9,31.8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:23:55,,12,30.7,56,31.9,54.7,31.9,56.2,31.9,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:25:55,,13,30.6,56,32,55.8,31.9,56.3,31.9,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:27:55,,14,30.5,56.5,32,56,31.8,56.9,31.9,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:29:55,,15,30.5,56.8,32,54.3,31.8,57.1,31.9,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:31:55,,16,30.5,57,32,54.6,31.8,57,31.9,57.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:33:55,,17,30.5,57.9,32,54,31.8,57,31.9,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:35:55,,18,30.5,57.7,32,53.7,31.8,57,31.9,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:37:55,,19,30.5,57.8,32,55.5,31.8,56.6,31.9,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:39:55,,20,30.4,57.8,32.1,54.9,31.8,55.8,31.9,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:41:55,,21,30.4,57.4,32.2,54.7,31.8,55.7,31.9,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:43:55,,22,30.4,57.1,32.2,54.7,31.8,55.5,32,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:45:55,,23,30.4,57.3,32.1,54.7,31.8,55.7,31.9,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:47:55,,24,30.4,56.6,32.1,54.8,31.8,55.7,31.9,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:49:55,,25,30.4,56.3,32.1,54.8,31.8,55.8,31.9,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:51:55,,26,30.4,56.9,32.1,53.5,31.7,55.6,31.9,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:53:55,,27,30.5,56.5,31.9,54.5,31.7,55.8,31.8,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
