时间,sx,,重新排序列,dx
2017\8\6 0:00,0,,1,0
2017\8\6 0:02,0,,2,0
2017\8\6 0:04,0,,3,0
2017\8\6 0:06,0,,4,0
2017\8\6 0:08,0,,5,0
2017\8\6 0:10,0,,6,0
2017\8\6 0:12,0,,7,0
2017\8\6 0:14,0,,8,0
2017\8\6 0:16,0,,9,0
2017\8\6 0:18,0,,10,0
2017\8\6 0:20,0,,11,0
2017\8\6 0:22,0,,12,0
2017\8\6 0:24,0,,13,0
2017\8\6 0:26,0,,14,0
2017\8\6 0:28,0,,15,0
2017\8\6 0:30,0,,16,0
2017\8\6 0:32,0,,17,0
2017\8\6 0:34,0,,18,0
2017\8\6 0:36,0,,19,0
2017\8\6 0:38,0,,20,0
2017\8\6 0:40,0,,21,0
2017\8\6 0:42,0,,22,0
2017\8\6 0:44,0,,23,0
2017\8\6 0:46,0,,24,0
2017\8\6 0:48,0,,25,0
2017\8\6 0:50,0,,26,0
2017\8\6 0:52,0,,27,0
2017\8\6 0:54,0,,28,0
2017\8\6 0:56,0,,29,0
2017\8\6 0:58,0,,30,0
2017\8\6 1:00,0,,31,0
2017\8\6 1:02,0,,32,0
2017\8\6 1:04,0,,33,0
2017\8\6 1:06,0,,34,0
2017\8\6 1:08,0,,35,0
2017\8\6 1:10,0,,36,0
2017\8\6 1:12,0,,37,0
2017\8\6 1:14,0,,38,0
2017\8\6 1:16,0,,39,0
2017\8\6 1:18,0,,40,0
2017\8\6 1:20,0,,41,0
2017\8\6 1:22,1,,42,0
2017\8\6 1:24,0,,43,0
2017\8\6 1:26,0,,44,0
2017\8\6 1:28,0,,45,0
2017\8\6 1:30,0,,46,0
2017\8\6 1:32,0,,47,0
2017\8\6 1:34,0,,48,0
2017\8\6 1:36,0,,49,0
2017\8\6 1:38,0,,50,0
2017\8\6 1:40,0,,51,0
2017\8\6 1:42,0,,52,0
2017\8\6 1:44,5,,53,2
2017\8\6 1:46,0,,54,0
2017\8\6 1:48,0,,55,0
2017\8\6 1:50,1,,56,0
2017\8\6 1:52,0,,57,0
2017\8\6 1:54,0,,58,0
2017\8\6 1:56,0,,59,0
2017\8\6 1:58,0,,60,0
2017\8\6 2:00,0,,61,0
2017\8\6 2:02,0,,62,0
2017\8\6 2:04,0,,63,0
2017\8\6 2:06,0,,64,0
2017\8\6 2:08,0,,65,0
2017\8\6 2:10,0,,66,0
2017\8\6 2:12,0,,67,0
2017\8\6 2:14,0,,68,0
2017\8\6 2:16,0,,69,0
2017\8\6 2:18,0,,70,0
2017\8\6 2:20,0,,71,0
2017\8\6 2:22,0,,72,0
2017\8\6 2:24,0,,73,0
2017\8\6 2:26,0,,74,0
2017\8\6 2:28,0,,75,0
2017\8\6 2:30,0,,76,0
2017\8\6 2:32,0,,77,0
2017\8\6 2:34,0,,78,0
2017\8\6 2:36,0,,79,0
2017\8\6 2:38,0,,80,0
2017\8\6 2:40,0,,81,0
2017\8\6 2:42,0,,82,0
2017\8\6 2:44,0,,83,0
2017\8\6 2:46,0,,84,0
2017\8\6 2:48,0,,85,0
2017\8\6 2:50,0,,86,0
2017\8\6 2:52,0,,87,0
2017\8\6 2:54,0,,88,0
2017\8\6 2:56,0,,89,0
2017\8\6 2:58,0,,90,0
2017\8\6 3:00,0,,91,0
2017\8\6 3:02,0,,92,0
2017\8\6 3:04,0,,93,0
2017\8\6 3:06,0,,94,0
2017\8\6 3:08,0,,95,0
2017\8\6 3:10,0,,96,0
2017\8\6 3:12,0,,97,0
2017\8\6 3:14,0,,98,0
2017\8\6 3:16,0,,99,0
2017\8\6 3:18,0,,100,0
2017\8\6 3:20,0,,101,0
2017\8\6 3:22,0,,102,0
2017\8\6 3:24,0,,103,0
2017\8\6 3:26,0,,104,0
2017\8\6 3:28,0,,105,0
2017\8\6 3:30,0,,106,0
2017\8\6 3:32,0,,107,0
2017\8\6 3:34,0,,108,0
2017\8\6 3:36,0,,109,0
2017\8\6 3:38,0,,110,0
2017\8\6 3:40,0,,111,0
2017\8\6 3:42,0,,112,0
2017\8\6 3:44,0,,113,0
2017\8\6 3:46,0,,114,0
2017\8\6 3:48,0,,115,0
2017\8\6 3:50,0,,116,0
2017\8\6 3:52,0,,117,0
